"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00083000","..................50- Water transport","659.995","Million PKR","Normal","","730","Scheduled Banks Loans to Water transport"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00084000","..................51- Air transport","1863.492","Million PKR","Normal","","740","Scheduled Banks Loans to Air transport"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00085000","..................52- Warehousing and support activities for transportation","64176.161","Million PKR","Normal","","750","Scheduled Banks Loans to Warehousing and support activities for transportation"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00086000","..................53- Courier activities other than national post activities","9986.959","Million PKR","Normal","","760","Scheduled Banks Loans to Courier activities other than national post activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00087000","............I. Accommodation and food service activities","78797.257","Million PKR","Normal","","770","Scheduled Banks Loans to Accommodation and food service activities sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00088000","..................55- Accommodation","62679.007","Million PKR","Normal","","780","Scheduled Banks Loans to Accommodation sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00089000","..................56- Food and beverage service activities","16118.25","Million PKR","Normal","","790","Scheduled Banks Loans to Food and beverage service activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00090000","............J. Information and communication","510381.609","Million PKR","Normal","","800","Scheduled Banks Loans to Information and Communication sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00091000","..................58- Publishing activities","10126.236","Million PKR","Normal","","810","Scheduled Banks Loans to Publishing activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00092000","..................59- Motion picture, video and television programme production, sound recording and music publishing activities","1735.071","Million PKR","Normal","","820","Scheduled Banks Loans to Motion picture, video and television programme production, sound recording and music publishing activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00093000","..................60- Programming and broadcasting activities","1256.65","Million PKR","Normal","","830","Scheduled Banks Loans to Programming and broadcasting activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00094000","..................61- Telecommunications","479827.024","Million PKR","Normal","","840","Scheduled Banks Loans to Telecommunications"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00095000","..................62- Computer programming, consultancy and related activities","13096.491","Million PKR","Normal","","850","Scheduled Banks Loans to Computer programming, consultancy and related activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00096000","..................63- Information service activities","4340.137","Million PKR","Normal","","860","Scheduled Banks Loans to Information service activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00097000","............K. Real estate activities","37971.212","Million PKR","Normal","","870","Scheduled Banks Loans to Real estate activities sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00098000","............L. Professional, scientific and technical activities","73001.872","Million PKR","Normal","","880","Scheduled Banks Loans to Professional, scientific and technical activities sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00099000","..................69- Legal and accounting activities","1977.285","Million PKR","Normal","","890","Scheduled Banks Loans to Legal and accounting activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00100000","..................70- Activities of head offices; management consultancy activities","1454.884","Million PKR","Normal","","900","Scheduled Banks Loans to Activities of head offices; management consultancy activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00101000","..................71- Architectural and engineering activities; technical testing and analysis","7966.874","Million PKR","Normal","","910","Scheduled Banks Loans to Architectural and engineering activities; technical testing and analysis"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00102000","..................72- Scientific research and development","3548.671","Million PKR","Normal","","920","Scheduled Banks Loans to Scientific research and development"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00103000","..................73- Advertising and market research","4557.658","Million PKR","Normal","","930","Scheduled Banks Loans to Advertising and market research"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00104000","..................74 Other professional, scientific and technical activities","53257.461","Million PKR","Normal","","940","Scheduled Banks Loans to Other professional, scientific and technical activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00105000","..................75- Veterinary activities","239.039","Million PKR","Normal","","950","Scheduled Banks Loans to Veterinary activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00106000","............M. Administrative and support service activities","55551.161","Million PKR","Normal","","960","Scheduled Banks Loans to Administrative and support service activities sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00107000","..................77- Rental and leasing activities","3218.854","Million PKR","Normal","","970","Scheduled Banks Loans to Rental and leasing activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00108000","..................78- Employment activities","548.961","Million PKR","Normal","","980","Scheduled Banks Loans to Employment activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00109000","..................79- Travel agency, tour operator, reservation service and related activities","14612.887","Million PKR","Normal","","990","Scheduled Banks Loans to Travel agency, tour operator, reservation service and related activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00110000","..................80- Security and investigation activities","3000.605","Million PKR","Normal","","1000","Scheduled Banks Loans to Security and investigation activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00111000","..................81- Services to buildings and landscape activities","488.675","Million PKR","Normal","","1010","Scheduled Banks Loans to Services to buildings and landscape activities"
